pedido_id,cliente_id,produto_id,data_pedido,quantidade,preco_unitario,desconto,frete
1,101,201,2024-01-05,1,3500.0,200.0,50.0
2,102,202,2024-01-06,2,1800.0,100.0,40.0
3,103,203,2024-01-07,3,120.0,0.0,20.0
4,104,204,2024-01-08,1,900.0,50.0,30.0
5,105,205,2024-01-10,2,150.0,10.0,25.0
6,106,206,2024-01-12,4,90.0,0.0,20.0
7,107,207,2024-01-15,1,4500.0,300.0,80.0
8,108,208,2024-01-18,1,1500.0,100.0,60.0
9,109,209,2024-01-20,1,1200.0,0.0,50.0
10,110,210,2024-01-22,2,200.0,20.0,15.0
11,111,201,2024-02-01,1,3400.0,150.0,50.0
12,112,202,2024-02-03,1,1700.0,0.0,40.0
13,101,203,2024-02-05,2,110.0,5.0,20.0
14,102,204,2024-02-07,1,850.0,0.0,30.0
15,103,205,2024-02-10,3,140.0,15.0,25.0
16,104,206,2024-02-12,2,85.0,0.0,20.0
17,105,207,2024-02-15,1,4400.0,250.0,80.0
18,106,208,2024-02-18,1,1400.0,0.0,60.0
19,107,209,2024-02-20,2,1150.0,100.0,50.0
20,108,210,2024-02-22,1,190.0,0.0,15.0
